([(48448, 180848), (48672, 180880)], 374539.0282264382)
([(-180432, -53552), (-180208, -53440)], 376176.15497340175)
([(-1840, 188272), (-1920, 188496)], 376786.7692352369)
([(188752, 9424), (188944, 9520)], 378170.7960605145)
([(-192176, 14560), (-192000, 14640)], 385284.1128897234)
([(50480, 185872), (50720, 185904)], 385303.62570372963)
([(60624, -183984), (60720, -183760)], 387246.74550947594)
([(-189360, 41760), (-189360, 41984)], 387868.46194680093)
([(61760, -184480), (61808, -184320)], 388950.51087032)
([(36176, 191616), (36400, 191520)], 389949.3901698198)
([(158432, 114992), (158544, 115200)], 391742.45614192693)
([(-55984, -189728), (-55776, -189840)], 395679.43800671207)
([(-139952, -140240), (-139728, -140256)], 396104.7049565384)
([(-124576, 154752), (-124384, 154704)], 397170.12956470554)
([(138096, 142976), (138240, 142864)], 397575.3053111272)
([(28016, -196960), (28160, -196784)], 397731.201365625)
([(-150752, -130544), (-150512, -130544)], 398656.45127828687)
([(54544, 191760), (54560, 192000)], 398967.9472592032)
([(-195808, 43520), (-195584, 43536)], 400956.91654901195)
([(-173216, -101808), (-172992, -101712)], 401597.2741566892)
([(180240, 90480), (180256, 90704)], 403466.28744531865)
([(201552, -5344), (201776, -5312)], 403468.7439651075)
([(-65168, -191312), (-65008, -191296)], 404146.8718786823)
([(40272, 198992), (40176, 199216)], 406253.0136973447)
([(199872, -39584), (199984, -39392)], 407580.7569531533)
([(-146192, -145552), (-146112, -145408)], 412431.02707865776)
([(3936, -207216), (4144, -207216)], 414510.8108017943)
([(-16080, 207200), (-16256, 207376)], 415835.18711757334)
([(-115408, -173200), (-115360, -172992)], 416056.21780892974)
([(139296, 155504), (139440, 155648)], 417743.1327081997)
([(200384, 59248), (200512, 59456)], 418100.788128452)
([(192352, 84016), (192544, 83984)], 419963.0246588243)
([(-198288, 73440), (-198144, 73408)], 422756.03618220415)
([(210640, -17552), (210704, -17392)], 422790.5824542466)
([(-198944, 73072), (-198880, 73248)], 423879.1248074465)
([(211296, 23664), (211488, 23616)], 425419.45632829616)
([(200560, -72448), (200704, -72416)], 426612.68433138635)
([(-48848, -207728), (-48640, -207792)], 426803.0314852778)
