([(-75216, -20400), (-75216, -20400), (-75392, -20688), (-75136, -20720)], 311986.23578228254)
([(-75136, -20720), (-75216, -20400), (-75392, -20688), (-75136, -20720)], 311993.4867695628)
([(-75392, -20688), (-75216, -20400), (-75392, -20688), (-75136, -20720)], 312231.8304888953)
([(104688, 163600), (104800, 163856), (104688, 163600), (104976, 163600)], 777343.6053686729)
([(104976, 163600), (104800, 163856), (104688, 163600), (104976, 163600)], 777498.9873716414)
([(104800, 163856), (104800, 163856), (104688, 163600), (104976, 163600)], 777619.6087867178)
([(181632, 96384), (181824, 96112), (181936, 96336), (181632, 96384)], 822773.0980272335)
([(181824, 96112), (181824, 96112), (181936, 96336), (181632, 96384)], 822815.4644004653)
([(181936, 96336), (181824, 96112), (181936, 96336), (181632, 96384)], 823019.2145789223)
